v1,v2
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis Urgent! Click now or lose access.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill465.in http://secure-link812.in
ham,OTP for Paytm login: 89691. Do not share.
ham,OTP for Paytm login: 17186. Do not share.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Device infected! Call Microsoft 1800Union now to fix. Urgent! Click now or lose access. http://secure-link669.in
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxUnion
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill407.in Urgent! Click now or lose access. http://secure-link167.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Amazon delivery failed. Call 1800Axis or order cancelled. http://secure-link915.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis Urgent! Click now or lose access.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftAxis (malware risk) Urgent! Click now or lose access.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,KYC registration of random person detected on your number. Verify: link
ham,Airtel Thanks: Bill paid Rs.499.
ham,Meeting at 4PM today bro. Confirm?
spam,KYC registration of random person detected on your number. Verify: link bit.ly/urgent
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxHDFC http://secure-link657.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Papa accident. Transfer Rs.5000 urgently to this number.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Happy Birthday bhai 🎉
ham,Your Google verification code is 99079. Never share.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link233.in
ham,Meeting at 4PM today bro. Confirm?
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill551.in http://secure-link195.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch872 Urgent! Click now or lose access. http://secure-link846.in
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800HDFC Urgent! Click now or lose access. http://secure-link951.in"
ham,Airtel Thanks: Bill paid Rs.499.
ham,Happy Birthday bhai 🎉
spam,Income tax refund ₹25000 pending. Share PAN now
ham,Flipkart: Your package will arrive tomorrow.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,OTP for Paytm login: 66776. Do not share.
ham,Your Google verification code is 83840. Never share.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link283.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
ham,Flipkart: Your package will arrive tomorrow.
ham,OTP for Paytm login: 59258. Do not share.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobHDFC http://secure-link653.in
ham,Flipkart: Your package will arrive tomorrow.
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill946.in http://secure-link622.in
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Airtel Thanks: Bill paid Rs.499.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk) Urgent! Click now or lose access.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link789.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link819.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,Device infected! Call Microsoft 1800Axis now to fix.
ham,Your Google verification code is 10947. Never share.
ham,Amazon order #AMZ23900 delivered successfully. Rate now.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,🎉 Congratulations! You won ₹Axis lakh. Claim now: goo.gl/claim867 Share bank details
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,OTP for Paytm login: 21123. Do not share.
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis
ham,Meeting at 4PM today bro. Confirm?
ham,Meeting at 4PM today bro. Confirm?
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis"
spam,🎉 Congratulations! You won ₹Union lakh. Claim now: goo.gl/claim813 Share bank details http://secure-link162.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,KYC registration of random person detected on your number. Verify: link bit.ly/urgent
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link768.in
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access. http://secure-link107.in
ham,OTP for Paytm login: 71138. Do not share.
ham,UPI payment successful Rs.299
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk)
ham,Meeting at 4PM today bro. Confirm?
spam,🎉 Congratulations! You won ₹Union lakh. Claim now: goo.gl/claim566 Share bank details Urgent! Click now or lose access. http://secure-link102.in
spam,Your device has virus. Install this app to clean bit.ly/urgent
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postUnion
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankAxis.in Urgent! Click now or lose access. http://secure-link384.in
ham,Flipkart: Your package will arrive tomorrow.
ham,Amazon order #AMZ25407 delivered successfully. Rate now.
spam,Device infected! Call Microsoft 1800Axis now to fix.
ham,Swiggy order on the way ETA 15 min
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link479.in
ham,OTP for Paytm login: 66478. Do not share.
spam,Amazon delivery failed. Call 1800SBI or order cancelled. Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Amazon order #AMZ50091 delivered successfully. Rate now.
ham,Your Google verification code is 81186. Never share.
ham,Swiggy order on the way ETA 15 min
ham,Airtel Thanks: Bill paid Rs.499.
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim933 Share bank details
ham,Your Google verification code is 55832. Never share.
ham,Airtel Thanks: Bill paid Rs.499.
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/215. Do not ignore!"
ham,Happy Birthday bhai 🎉
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis http://secure-link410.in"
ham,Your Google verification code is 57550. Never share.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/199. Do not ignore!"
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link373.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,Amazon order #AMZ26770 delivered successfully. Rate now.
ham,Happy Birthday bhai 🎉
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postAxis
ham,Amazon order #AMZ19630 delivered successfully. Rate now.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk) Urgent! Click now or lose access.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyAxis Urgent! Click now or lose access. http://secure-link643.in
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/503. Do not ignore! Urgent! Click now or lose access."
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankUnion.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/678. Do not ignore!"
ham,Flipkart: Your package will arrive tomorrow.
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch707 http://secure-link579.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftUnion (malware risk) Urgent! Click now or lose access.
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch267 Urgent! Click now or lose access.
ham,Happy Birthday bhai 🎉
ham,Flipkart: Your package will arrive tomorrow.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Amazon order #AMZ77544 delivered successfully. Rate now.
ham,UPI payment successful Rs.299
spam,Device infected! Call Microsoft 1800HDFC now to fix. Urgent! Click now or lose access. http://secure-link763.in
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI Urgent! Click now or lose access. http://secure-link871.in
ham,Your Google verification code is 7910. Never share.
spam,🎉 Congratulations! You won ₹Union lakh. Claim now: goo.gl/claim146 Share bank details http://secure-link933.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winSBI
ham,Bro where are you?
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill580.in Urgent! Click now or lose access. http://secure-link220.in
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch587 http://secure-link831.in
ham,Amazon order #AMZ96148 delivered successfully. Rate now.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyUnion Urgent! Click now or lose access.
ham,Flipkart: Your package will arrive tomorrow.
spam,New Year reward ₹1000 from Jio. Claim gift link
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
spam,Income tax refund ₹25000 pending. Share PAN now
ham,Happy Birthday bhai 🎉
ham,Amazon order #AMZ14521 delivered successfully. Rate now.
spam,New Year reward ₹1000 from Jio. Claim gift link
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/521. Do not ignore! Urgent! Click now or lose access."
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Meeting at 4PM today bro. Confirm?
ham,Amazon order #AMZ55178 delivered successfully. Rate now.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link810.in
spam,Electricity bill overdue Rs.SBI. Pay now or power cut: pay.bill790.in Urgent! Click now or lose access.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion
ham,Meeting at 4PM today bro. Confirm?
spam,Income tax refund ₹25000 pending. Share PAN now
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Electricity bill overdue Rs.Union. Pay now or power cut: pay.bill330.in http://secure-link619.in
ham,Happy Birthday bhai 🎉
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/658. Do not ignore!"
ham,Flipkart: Your package will arrive tomorrow.
spam,"Dear customer, your SBI account will be blocked today. Update KYC immediately: bit.ly/280. Do not ignore! Urgent! Click now or lose access."
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill600.in
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access. http://secure-link704.in
ham,Flipkart: Your package will arrive tomorrow.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Amazon order #AMZ32709 delivered successfully. Rate now.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Union http://secure-link908.in"
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk) Urgent! Click now or lose access.
ham,Flipkart: Your package will arrive tomorrow.
ham,Flipkart: Your package will arrive tomorrow.
ham,Happy Birthday bhai 🎉
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Amazon order #AMZ12412 delivered successfully. Rate now.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Airtel Thanks: Bill paid Rs.499.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link179.in
ham,Airtel Thanks: Bill paid Rs.499.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800HDFC http://secure-link923.in"
ham,Meeting postponed to tomorrow
ham,OTP for Paytm login: 81460. Do not share.
ham,Happy Birthday bhai 🎉
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyAxis Urgent! Click now or lose access. http://secure-link269.in
ham,OTP for Paytm login: 99618. Do not share.
spam,Device infected! Call Microsoft 1800Union now to fix. Urgent! Click now or lose access. http://secure-link881.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI http://secure-link447.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Flipkart: Your package will arrive tomorrow.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis http://secure-link839.in"
ham,OTP for Paytm login: 64068. Do not share.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
spam,Traffic challan Rs.Union. Pay or vehicle seized: paytm.me/ch987 Urgent! Click now or lose access. http://secure-link894.in
ham,Your Google verification code is 85195. Never share.
ham,Your Google verification code is 81614. Never share.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobSBI
ham,Flipkart: Your package will arrive tomorrow.
ham,Your Google verification code is 39691. Never share.
ham,OTP for Paytm login: 32056. Do not share.
ham,Amazon order #AMZ8864 delivered successfully. Rate now.
ham,Bro where are you?
ham,Flipkart: Your package will arrive tomorrow.
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link204.in
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill962.in Urgent! Click now or lose access. http://secure-link550.in
ham,Meeting at 4PM today bro. Confirm?
spam,KYC registration of random person detected on your number. Verify: link bit.ly/urgent
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyAxis Urgent! Click now or lose access. http://secure-link829.in
spam,Your bank account needs urgent KYC update else blocked in 24hrs. Link: securebankAxis.in http://secure-link175.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postSBI
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winHDFC Urgent! Click now or lose access.
spam,Traffic challan Rs.Axis. Pay or vehicle seized: paytm.me/ch845 http://secure-link728.in
ham,Airtel Thanks: Bill paid Rs.499.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
ham,Bro where are you?
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI http://secure-link132.in
spam,Amazon delivery failed. Call 1800HDFC or order cancelled. Urgent! Click now or lose access. http://secure-link879.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis Urgent! Click now or lose access.
ham,Airtel Thanks: Bill paid Rs.499.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link619.in
ham,Amazon order #AMZ31027 delivered successfully. Rate now.
ham,Meeting at 4PM today bro. Confirm?
ham,Bro where are you?
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
ham,Your Google verification code is 76276. Never share.
ham,OTP for Paytm login: 20797. Do not share.
ham,Bro where are you?
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Amazon order #AMZ41051 delivered successfully. Rate now.
ham,Bro where are you?
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Device infected! Call Microsoft 1800Axis now to fix. http://secure-link438.in
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftSBI (malware risk) Urgent! Click now or lose access.
ham,Your Google verification code is 27309. Never share.
ham,OTP for Paytm login: 52592. Do not share.
spam,🎉 Congratulations! You won ₹Axis lakh. Claim now: goo.gl/claim934 Share bank details
spam,KYC registration of random person detected on your number. Verify: link
ham,Meeting at 4PM today bro. Confirm?
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winSBI
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access.
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/597. Do not ignore! Urgent! Click now or lose access."
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access.
ham,Bro where are you?
spam,🎉 Congratulations! You won ₹SBI lakh. Claim now: goo.gl/claim537 Share bank details Urgent! Click now or lose access.
ham,Your Google verification code is 59879. Never share.
ham,OTP for Paytm login: 61423. Do not share.
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifyHDFC Urgent! Click now or lose access. http://secure-link663.in
spam,Amazon delivery failed. Call 1800SBI or order cancelled. Urgent! Click now or lose access. http://secure-link973.in
spam,Traffic challan Rs.SBI. Pay or vehicle seized: paytm.me/ch378 http://secure-link639.in
spam,Device infected! Call Microsoft 1800Union now to fix. Urgent! Click now or lose access.
spam,Papa accident. Transfer Rs.5000 urgently to this number. Urgent! Click now or lose access.
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
spam,Traffic challan Rs.SBI. Pay or vehicle seized: paytm.me/ch130 http://secure-link332.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postHDFC
spam,Papa accident. Transfer Rs.5000 urgently to this number.
spam,"Dear customer, your Union account will be blocked today. Update KYC immediately: bit.ly/818. Do not ignore! Urgent! Click now or lose access."
spam,Income tax refund ₹25000 pending. Share PAN now
spam,Aadhaar KYC pending. Update or PAN frozen: aadhaar.gov.verifySBI Urgent! Click now or lose access.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link788.in
ham,Meeting at 4PM today bro. Confirm?
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim945 Share bank details Urgent! Click now or lose access. http://secure-link220.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion
spam,"Dear customer, your HDFC account will be blocked today. Update KYC immediately: bit.ly/602. Do not ignore!"
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link191.in
spam,Device infected! Call Microsoft 1800SBI now to fix. http://secure-link436.in
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill206.in http://secure-link500.in
ham,Meeting at 4PM today bro. Confirm?
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Amazon delivery failed. Call 1800Axis or order cancelled. Urgent! Click now or lose access. http://secure-link383.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winAxis
ham,Flipkart: Your package will arrive tomorrow.
spam,Amazon delivery failed. Call 1800Axis or order cancelled.
ham,Your Google verification code is 48211. Never share.
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis"
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link407.in
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postSBI Urgent! Click now or lose access.
spam,"Dear customer, your Axis account will be blocked today. Update KYC immediately: bit.ly/977. Do not ignore! Urgent! Click now or lose access."
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link346.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postAxis
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxUnion http://secure-link571.in
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winHDFC Urgent! Click now or lose access.
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Amazon order #AMZ20070 delivered successfully. Rate now.
spam,Device infected! Call Microsoft 1800Union now to fix. http://secure-link852.in
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access. http://secure-link355.in
spam,New Year reward ₹1000 from Jio. Claim gift link bit.ly/urgent
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill962.in http://secure-link474.in
ham,Your Google verification code is 2135. Never share.
ham,OTP for Paytm login: 33895. Do not share.
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx http://secure-link561.in
ham,Meeting postponed to tomorrow
spam,Your device has virus. Install this app to clean bit.ly/urgent
spam,Amazon delivery failed. Call 1800Axis or order cancelled. Urgent! Click now or lose access.
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 Urgent! Click now or lose access. http://secure-link474.in
spam,New Year reward ₹1000 from Jio. Claim gift link
spam,Income tax refund ₹25000 pending. Share PAN now bit.ly/urgent
spam,SBI/HDFC Alert: Suspicious activity. Share OTP to verify or account frozen. Call 1800222242 http://secure-link232.in
ham,Happy Birthday bhai 🎉
ham,Your Google verification code is 10593. Never share.
ham,Happy Birthday bhai 🎉
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx
spam,Your SIM will be deactivated in 2hrs. Port now: 98xxxxxxxx Urgent! Click now or lose access. http://secure-link708.in
ham,Your Google verification code is 57431. Never share.
spam,Work from home job ₹2000/day. Send Rs.499 registration: whatsapp.me/jobAxis http://secure-link920.in
ham,Flipkart: Your package will arrive tomorrow.
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI
ham,"A/c *0966 Debited for Rs.10.00 on 17-03-2026 08:28:05 by Mob Bk ref no 474427685418 Avl Bal Rs:451.74.If not you, Call 1800222243 -Union Bank of India"
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
ham,Amazon order #AMZ37996 delivered successfully. Rate now.
spam,🎉 Congratulations! You won ₹HDFC lakh. Claim now: goo.gl/claim276 Share bank details Urgent! Click now or lose access. http://secure-link828.in
ham,Swiggy order on the way ETA 15 min
spam,Your device has virus. Install this app to clean
spam,Electricity bill overdue Rs.Axis. Pay now or power cut: pay.bill864.in http://secure-link114.in
ham,Your Google verification code is 29617. Never share.
ham,Your Google verification code is 34799. Never share.
ham,Your Google verification code is 73012. Never share.
spam,KYC registration of random person detected on your number. Verify: link
ham,Jio: Recharge done. Enjoy 1.5GB/day for 28 days.
ham,Flipkart: Your package will arrive tomorrow.
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postSBI
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxAxis http://secure-link798.in
spam,Device infected! Call Microsoft 1800HDFC now to fix.
ham,Happy Birthday bhai 🎉
spam,Amazon delivery failed. Call 1800Union or order cancelled. Urgent! Click now or lose access. http://secure-link561.in
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch829 http://secure-link690.in
spam,"Instant loan ₹50,000 approved! OTP to disburse: call 1800Axis"
spam,Electricity bill overdue Rs.HDFC. Pay now or power cut: pay.bill202.in Urgent! Click now or lose access.
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch474 http://secure-link850.in
ham,Your Google verification code is 89647. Never share.
ham,Meeting at 4PM today bro. Confirm?
spam,Happy New Year 2026 🎊 Personalised card from family. Open: bit.ly/nygiftHDFC (malware risk) Urgent! Click now or lose access.
spam,Traffic challan Rs.HDFC. Pay or vehicle seized: paytm.me/ch176
spam,Device infected! Call Microsoft 1800HDFC now to fix. Urgent! Click now or lose access. http://secure-link398.in
spam,Amazon delivery failed. Call 1800SBI or order cancelled. Urgent! Click now or lose access. http://secure-link229.in
spam,KYC registration of random person detected on your number. Verify: link
spam,Device infected! Call Microsoft 1800Axis now to fix. Urgent! Click now or lose access.
ham,Bro where are you?
spam,Flipkart lucky draw winner! ₹5000 gift. Click bit.ly/winUnion
spam,India Post: Parcel held due to address issue. Pay Rs.49 to redeliver: tinyurl.com/postUnion
ham,Meeting at 4PM today bro. Confirm?
spam,Free iPhone 16 offer. Limited stock: amazon-fake.in/luxSBI
spam,Your device has virus. Install this app to clean
ham,Your SBI A/c credited Rs.5000 via IMPS. Avl Bal Rs.12450. Thank you.
